energy,photons
10,2.200699e+7
11,1.572134e+7
12,1.452944e+7
13,1.453343e+7
14,1.549327e+7
15,1.607189e+7
16,1.641563e+7
17,1.648415e+7
18,1.634965e+7
19,1.607286e+7
20,1.570172e+7
21,1.526289e+7
22,1.477899e+7
23,1.426272e+7
24,1.373144e+7
25,1.319691e+7
26,1.266983e+7
27,1.215289e+7
28,1.165207e+7
29,1.116071e+7
30,1.069031e+7
31,1.024124e+7
32,9.806569e+6
33,9.394281e+6
34,9.003401e+6
35,8.626690e+6
36,8.264491e+6
37,7.924030e+6
38,7.598274e+6
39,7.287332e+6
40,6.990770e+6
41,6.708911e+6
42,6.440020e+6
43,6.183438e+6
44,5.939238e+6
45,5.705101e+6
46,5.481425e+6
47,5.267937e+6
48,5.063606e+6
49,4.867875e+6
50,4.680795e+6
51,4.501420e+6
52,4.329377e+6
53,4.163933e+6
54,4.006007e+6
55,3.853522e+6
56,3.708358e+6
57,3.566317e+6
58,7.893541e+6
59,1.104656e+7
60,3.174823e+6
61,3.053201e+6
62,2.936463e+6
63,2.823241e+6
64,2.714120e+6
65,2.608197e+6
66,2.506634e+6
67,4.895734e+6
68,2.311897e+6
69,2.864110e+6
70,2.063513e+6
71,1.981533e+6
72,1.901665e+6
73,1.824020e+6
74,1.748527e+6
75,1.674174e+6
76,1.602165e+6
77,1.530868e+6
78,1.462082e+6
79,1.393951e+6
80,1.328013e+6
81,1.262406e+6
82,1.198964e+6
83,1.135588e+6
84,1.074203e+6
85,1.012553e+6
86,952920.6
87,892774
88,834357.7
89,775120.2
90,717605.8
91,658765.6
92,601696.7
93,542637.5
94,485418.9
95,421757.9
96,360058.2
97,298861
98,239531.6
99,117922.5
100,0
