energy,photons
10,3581.9
11,2558.8
12,2364.8
13,2365.5
14,2521.7
15,2615.9
16,2671.8
17,2683
18,2661.1
19,2616.1
20,2466.4
21,2397.5
22,2321.5
23,2240.4
24,2156.9
25,2073
26,1990.2
27,1909
28,1830.3
29,1753.1
30,1679.2
31,1608.7
32,1540.4
33,1475.6
34,1414.2
35,1355.1
36,1298.2
37,1244.7
38,1193.5
39,1144.7
40,1098.1
41,1053.8
42,1011.6
43,971.29
44,932.93
45,896.15
46,861.01
47,827.48
48,795.38
49,764.64
50,735.25
51,707.08
52,680.05
53,654.06
54,629.26
55,605.31
56,582.5
57,560.19
58,1239.9
59,1735.2
60,498.7
61,479.59
62,461.26
63,443.47
64,426.33
65,409.69
66,393.74
67,769.01
68,363.15
69,449.89
70,324.13
71,311.26
72,298.71
73,286.51
74,274.66
75,262.98
76,251.67
77,240.47
78,229.66
79,218.96
80,208.6
81,198.3
82,188.33
83,178.38
84,168.73
85,159.05
86,149.68
87,140.24
88,131.06
89,121.75
90,112.72
91,103.48
92,94.514
93,85.237
94,76.249
95,66.249
96,56.557
97,46.945
98,37.625
99,18.523
100,1
