energy,photons
10,3581.9
11,2558.8
12,2364.8
13,2365.5
14,2521.7
15,2615.9
16,2671.8
17,2683
18,2661.1
19,2616.1
20,2555.7
21,2484.2
22,2405.5
23,2321.4
24,2235
25,2148
26,2062.2
27,1978
28,1896.5
29,1816.5
30,1740
31,1666.9
32,1596.1
33,1529
34,1465.4
35,1404.1
36,1345.1
37,1289.7
38,1236.7
39,1186.1
40,1137.8
41,1092
42,1048.2
43,1006.4
44,966.68
45,928.58
46,892.17
47,857.42
48,824.16
49,792.31
50,761.86
51,732.66
52,704.66
53,677.73
54,652.03
55,627.21
56,603.58
57,580.46
58,1284.8
59,1798
60,516.74
61,496.95
62,477.95
63,459.52
64,441.76
65,424.52
66,407.99
67,796.84
68,376.29
69,466.17
70,335.86
71,322.52
72,309.52
73,296.88
74,284.59
75,272.49
76,260.77
77,249.17
78,237.97
79,226.88
80,216.15
81,205.47
82,195.15
83,184.83
84,174.84
85,164.81
86,155.1
87,145.31
88,135.8
89,126.16
90,116.8
91,107.22
92,97.934
93,88.321
94,79.008
95,68.646
96,58.604
97,48.643
98,38.987
99,19.193
100,0
