energies,photons
7.0,9390472.0
8.0,11852730.0
9.0,13778740.0
10.0,14921360.0
11.0,8072648.0
12.0,6741331.0
13.0,6424421.0
14.0,6805447.0
15.0,7081311.0
16.0,7327944.0
17.0,7457397.0
18.0,7498339.0
19.0,7474885.0
20.0,7399574.0
21.0,7276536.0
22.0,7118331.0
23.0,6921846.0
24.0,6706309.0
25.0,6477938.0
26.0,6239100.0
27.0,5996029.0
28.0,5746172.0
29.0,5501775.0
30.0,5260147.0
31.0,5023826.0
32.0,4787164.0
33.0,4561200.0
34.0,4344816.0
35.0,4133175.0
36.0,3925325.0
37.0,3727094.0
38.0,3537065.0
39.0,3353050.0
40.0,3175428.0
41.0,3006034.0
42.0,2839812.0
43.0,2682268.0
44.0,2529981.0
45.0,2383248.0
46.0,2240047.0
47.0,2102540.0
48.0,1969676.0
49.0,1841381.0
50.0,1717235.0
51.0,1594224.0
52.0,1477003.0
53.0,1362085.0
54.0,1249583.0
55.0,1138516.0
56.0,1028546.0
57.0,921394.9
58.0,814434.7
59.0,707852.4
60.0,598518.0
61.0,483324.0
62.0,368909.5
63.0,224738.9
64.0,0.0
