energy,photons
7.0,13753450.0
8.0,15415480.0
9.0,16847820.0
10.0,17655110.0
11.0,9004992.0
12.0,7352978.0
13.0,6921167.0
14.0,7303080.0
15.0,7596999.0
16.0,7881830.0
17.0,8054154.0
18.0,8133001.0
19.0,8157273.0
20.0,8120627.0
21.0,8030137.0
22.0,7901982.0
23.0,7730713.0
24.0,7533704.0
25.0,7309378.0
26.0,7079667.0
27.0,6836765.0
28.0,6585016.0
29.0,6336020.0
30.0,6085678.0
31.0,5840727.0
32.0,5590920.0
33.0,5354498.0
34.0,5125752.0
35.0,4898052.0
36.0,4675446.0
37.0,4464248.0
38.0,4260141.0
39.0,4059552.0
40.0,3867991.0
41.0,3685028.0
42.0,3508226.0
43.0,3335562.0
44.0,3170544.0
45.0,3011569.0
46.0,2856430.0
47.0,2708860.0
48.0,2566096.0
49.0,2428938.0
50.0,2294107.0
51.0,2164970.0
52.0,2040420.0
53.0,1917791.0
54.0,1800627.0
55.0,1686625.0
56.0,1574953.0
57.0,1466586.0
58.0,1360655.0
59.0,1257386.0
60.0,1154311.0
61.0,1054232.0
62.0,955252.4
63.0,856590.0
64.0,758029.3
65.0,659413.9
66.0,559902.2
67.0,451710.7
68.0,348405.0
69.0,204224.6
70.0,0.0
