energy,photons
14,1.577961e+7
15,1.692994e+7
16,1.788307e+7
17,1.852519e+7
18,1.888456e+7
19,1.904107e+7
20,1.905191e+7
21,1.891027e+7
22,1.866861e+7
23,1.833929e+7
24,1.793511e+7
25,1.748696e+7
26,1.702055e+7
27,1.652432e+7
28,1.601857e+7
29,1.551615e+7
30,1.500887e+7
31,1.452150e+7
32,1.402281e+7
33,1.354707e+7
34,1.309615e+7
35,1.264396e+7
36,1.220131e+7
37,1.178865e+7
38,1.138371e+7
39,1.099522e+7
40,1.062139e+7
41,1.026251e+7
42,9.918220e+6
43,9.587615e+6
44,9.269369e+6
45,8.966073e+6
46,8.669825e+6
47,8.387695e+6
48,8.118348e+6
49,7.856791e+6
50,7.606668e+6
51,7.367966e+6
52,7.135460e+6
53,6.913106e+6
54,6.700391e+6
55,6.493811e+6
56,6.295806e+6
57,6.104923e+6
58,2.270558e+7
59,3.488084e+7
60,5.573206e+6
61,5.407712e+6
62,5.249728e+6
63,5.095481e+6
64,4.947087e+6
65,4.804336e+6
66,4.665871e+6
67,1.389115e+7
68,4.402705e+6
69,6.703905e+6
70,3.906766e+6
71,3.805783e+6
72,3.704927e+6
73,3.611061e+6
74,3.516504e+6
75,3.425056e+6
76,3.336454e+6
77,3.248287e+6
78,3.163557e+6
79,3.080874e+6
80,2.999663e+6
81,2.920637e+6
82,2.843592e+6
83,2.767931e+6
84,2.695415e+6
85,2.622547e+6
86,2.552202e+6
87,2.484405e+6
88,2.416435e+6
89,2.350774e+6
90,2.286911e+6
91,2.223795e+6
92,2.162521e+6
93,2.102556e+6
94,2.043482e+6
95,1.985990e+6
96,1.929754e+6
97,1.874248e+6
98,1.821012e+6
99,1.767212e+6
100,1.715141e+6
101,1.664582e+6
102,1.614143e+6
103,1.564917e+6
104,1.517165e+6
105,1.469346e+6
106,1.423022e+6
107,1.377399e+6
108,1.332290e+6
109,1.288325e+6
110,1.244909e+6
111,1.201923e+6
112,1.160169e+6
113,1.118504e+6
114,1.077531e+6
115,1.037858e+6
116,997446.9
117,958178
118,919714.3
119,880819
120,843117.6
121,805510.1
122,767830.8
123,731258.4
124,694224.3
125,657430.6
126,621731.4
127,584818
128,548598.8
129,513200.4
130,476196.3
131,440198.4
132,403377.2
133,363840.9
134,325394.7
135,287583.1
136,249901.3
137,213257.8
138,146028
139,71987.23
140,0
