 Pb Density=11.35
 Energy(eV), Delta, Beta
  30. -0.00681867264  0.149896398
  30.4181843 -0.00971269794  0.15099974
  30.8421955 -0.0121603142  0.152111471
  31.2721214 -0.0142861856  0.153232276
  31.7080383 -0.0161244422  0.154359654
  32.150032 -0.0177236721  0.155497074
  32.5981827 -0.019112844  0.156642154
  33.0525818 -0.0203457773  0.157795027
  33.5133171 -0.0214067902  0.159022376
  33.9804764 -0.0222500544  0.160351723
  34.4541473 -0.0228531435  0.161705777
  34.9344177 -0.0232271925  0.163070545
  35.4213829 -0.0233704634  0.164446965
  35.9151382 -0.023296807  0.165835425
  36.4157791 -0.0230027325  0.167235494
  36.9233932 -0.0224693827  0.168647066
  37.4380875 -0.0215900615  0.170070559
  37.9599533 -0.0202925988  0.171390057
  38.4890938 -0.0188744087  0.172108486
  39.0256119 -0.0175547786  0.172774658
  39.5696068 -0.0161796473  0.173442319
  40.1211853 -0.0147056356  0.174112111
  40.6804543 -0.0130920475  0.174784601
  41.2475166 -0.0112954127  0.175460026
  41.8224831 -0.00922999252  0.176138178
  42.405468 -0.00674675871  0.176775083
  42.9965744 -0.00394026376  0.176545367
  43.5959282 -0.00140958617  0.176020086
  44.2036324  0.000919488899  0.175459623
  44.8198051  0.00319088576  0.174900845
  45.4445686  0.00549478922  0.174343675
  46.0780411  0.00789817516  0.173788592
  46.7203445  0.0105061028  0.173188075
  47.3715973  0.0135305393  0.172128066
  48.0319328  0.0162077472  0.170567274
  48.7014732  0.0185828134  0.168984964
  49.3803444  0.0208165385  0.167417422
  50.0686798  0.0229852907  0.165864497
  50.7666092  0.0251194481  0.164325863
  51.4742699  0.0272480063  0.162801787
  52.1917915  0.0294015463  0.16129218
  52.9193192  0.0316501223  0.159796461
  53.6569862  0.0342923552  0.158314362
  54.4049339  0.0369237363  0.156242803
  55.163311  0.039300669  0.153872848
  55.9322586  0.0414195918  0.151517108
  56.7119217  0.0434134528  0.149197534
  57.5024567  0.0453395061  0.146913081
  58.3040123  0.0472691469  0.144664228
  59.1167336  0.0492538847  0.142449543
  59.9407921  0.0514604785  0.1402684
  60.7763329  0.0537885018  0.137656927
  61.6235237  0.0559696816  0.134612739
  62.4825172  0.0578060485  0.131470501
  63.3534927  0.0593755953  0.12840192
  64.2366028  0.0608533062  0.125404999
  65.1320343  0.0625108182  0.122477524
  66.0399323  0.0641850904  0.119150512
  66.960495  0.0655251741  0.115549468
  67.8938904  0.066486679  0.111914903
  68.8402939  0.0671861246  0.108394891
  69.7998886  0.0677035004  0.104985163
  70.7728577  0.0680740848  0.101683177
  71.7593994  0.0683301166  0.0984984115
  72.7596817  0.0685082078  0.0954183787
  73.7739182  0.0686261803  0.0924359635
  74.8022842  0.0686992332  0.089546971
  75.844986  0.0687441751  0.0867482871
  76.9022217  0.0687798113  0.0840370432
  77.9741974  0.0688256025  0.0814102739
  79.0611115  0.0692101344  0.078865692
  80.1631851  0.0694836751  0.0758095458
  81.2806168  0.0694518238  0.0726978034
  82.4136276  0.0691856444  0.0696830377
  83.5624237  0.0687812343  0.0667933077
  84.7272415  0.0682874024  0.0640233085
  85.9082947  0.0677350536  0.0613682643
  87.1058121  0.0671515316  0.0588235036
  88.320015  0.0665619895  0.0563840792
  89.5511475  0.0662065744  0.0540074445
  90.7994385  0.0657963008  0.0513796993
  92.0651398  0.0651455373  0.0486412458
  93.3484802  0.0642698333  0.0460486859
  94.649704  0.0632979274  0.0435944721
  95.9690704  0.0622669756  0.0412709489
  97.3068314  0.0612216666  0.0390713289
  98.6632385  0.0602432862  0.0368965492
  100.038544  0.0591897592  0.0347059593
  101.433029  0.0580152646  0.0325805321
  102.846954  0.0567569733  0.030585248
  104.280579  0.0554768704  0.0287124645
  105.734192  0.0541989803  0.0269539822
  107.208076  0.0529874749  0.0253036898
  108.702492  0.051855363  0.0235499367
  110.217751  0.0506022424  0.0217372738
  111.754128  0.0491856001  0.0199993905
  113.311913  0.0476575531  0.0184005853
  114.891418  0.0460610725  0.0169369746
  116.492943  0.0443356745  0.0156255383
  118.116798  0.0427040868  0.0146267787
  119.763275  0.0412014425  0.0136919962
  121.432716  0.0397608243  0.0128169851
  123.125427  0.0383632258  0.0119978506
  124.841721  0.0370019749  0.0112310918
  126.581955  0.035653051  0.0105158305
  128.346436  0.0342753381  0.00986572076
  130.135513  0.0329831466  0.00940079428
  131.949539  0.0318070464  0.0089578284
  133.788834  0.0306966417  0.00853565894
  135.653778  0.0296397917  0.00813338347
  137.544724  0.0286305808  0.00775006879
  139.462021  0.0276658144  0.00738482317
  141.406052  0.0267463997  0.00703681214
  143.377167  0.025884835  0.00670522498
  145.375778  0.0250457861  0.00631862925
  147.402222  0.0242029205  0.00593846058
  149.45694  0.0233573858  0.0055780909
  151.540268  0.0225118715  0.00523956353
  153.652664  0.0216745641  0.00493376935
  155.794495  0.0208581463  0.00467112102
  157.966202  0.0200714376  0.00442846492
  160.168167  0.0193098951  0.00419839332
  162.400818  0.0185667649  0.00398029573
  164.664597  0.0178238899  0.00377355772
  166.95993  0.0170953367  0.00360353547
  169.287262  0.0163970869  0.0034653109
  171.647034  0.0157323536  0.00333548896
  174.039703  0.015088724  0.00321053667
  176.465729  0.0144456914  0.00309024611
  178.925552  0.0138120744  0.0030055549
  181.419678  0.0132133625  0.00294711674
  183.948563  0.0126463044  0.00289707445
  186.512726  0.0121011091  0.00284831668
  189.112595  0.0115718087  0.00280307001
  191.748734  0.0110581722  0.00276452722
  194.4216  0.0105461339  0.00272648968
  197.131729  0.0100429859  0.00271920115
  199.879639  0.00956685375  0.00272785081
  202.665863  0.00910843443  0.00274049025
  205.490906  0.00866226386  0.00276611233
  208.355347  0.0082333805  0.00281237205
  211.259705  0.00783267058  0.00287140231
  214.204544  0.00745935971  0.0029316016
  217.190445  0.00710578216  0.00299311453
  220.217957  0.0067653954  0.00305592013
  223.287674  0.00643863995  0.00312587759
  226.400192  0.00613014679  0.00320491171
  229.556091  0.0058424403  0.00329042436
  232.755981  0.00557462592  0.00337821781
  236.000458  0.00532506779  0.00346833724
  239.290176  0.00509606535  0.00356089929
  242.625763  0.00488822395  0.00365587859
  246.007828  0.00471143983  0.0037534053
  249.437057  0.0045545157  0.0038278813
  252.914062  0.0044044042  0.00388032733
  256.439545  0.00425468339  0.00392965833
  260.01416  0.00410766155  0.00397965917
  263.638641  0.0039687315  0.00403024023
  267.313599  0.00383913633  0.00408149185
  271.039825  0.00372161227  0.0041334047
  274.817963  0.00361393671  0.00418000529
  278.648773  0.00351358741  0.00422218116
  282.53299  0.00341945491  0.00426361104
  286.471375  0.0033323355  0.00430543534
  290.4646  0.00325457333  0.00434767175
  294.513519  0.00318837562  0.0043903687
  298.618896  0.00313292723  0.00443343678
  302.781494  0.00310932053  0.00447657937
  307.002106  0.00310038123  0.00449113501
