 Si Density=2.33
 Energy(eV), Delta, Beta
  30.  0.145224988  0.0142891994
  30.4181843  0.140436038  0.0139345387
  30.8421955  0.135814235  0.0135886809
  31.2721214  0.131336331  0.0132530928
  31.7080383  0.127011597  0.0129477074
  32.150032  0.122850023  0.0127012618
  32.5981827  0.118857257  0.0124645438
  33.0525818  0.11501807  0.0122322477
  33.5133171  0.111319959  0.0120042702
  33.9804764  0.107754596  0.011780533
  34.4541473  0.104315214  0.011560984
  34.9344177  0.100996301  0.0113454964
  35.4213829  0.0977928638  0.0111340377
  35.9151382  0.0946987346  0.010926527
  36.4157791  0.0917092189  0.0107228914
  36.9233932  0.0888204798  0.0105230445
  37.4380875  0.0860289335  0.0103269136
  37.9599533  0.0833313987  0.0101344567
  38.4890938  0.0807253346  0.00994556677
  39.0256119  0.0782143027  0.00976019911
  39.5696068  0.0757993534  0.00956073869
  40.1211853  0.0734570622  0.00933954306
  40.6804543  0.0711698607  0.00911327917
  41.2475166  0.0689380467  0.00889249612
  41.8224831  0.066770114  0.00867705699
  42.405468  0.0646637753  0.00846684817
  42.9965744  0.0626167506  0.00826171506
  43.5959282  0.0606281199  0.00806155335
  44.2036324  0.0586964414  0.00786624476
  44.8198051  0.0568203069  0.00767567521
  45.4445686  0.0549989343  0.00748972176
  46.0780411  0.0532308854  0.00730617484
  46.7203445  0.0515129939  0.00712073408
  47.3715973  0.0498393774  0.00693663349
  48.0319328  0.0482058749  0.00675729988
  48.7014732  0.0466151796  0.00658260938
  49.3803444  0.0450660028  0.00641242787
  50.0686798  0.0435568094  0.00624664268
  50.7666092  0.0420862027  0.00608515041
  51.4742699  0.0406516343  0.00592783652
  52.1917915  0.0392451808  0.00577458646
  52.9193192  0.0378681496  0.00563373649
  53.6569862  0.0365319625  0.00551373884
  54.4049339  0.0352378488  0.00539998058
  55.163311  0.0339821838  0.00528856087
  55.9322586  0.032761123  0.00517943595
  56.7119217  0.0315721743  0.00507256901
  57.5024567  0.030413093  0.00496790931
  58.3040123  0.0292748418  0.00486540375
  59.1167336  0.0281465445  0.00476501742
  59.9407921  0.027049493  0.00470540673
  60.7763329  0.0259973649  0.00466601597
  61.6235237  0.0249908753  0.00462989602
  62.4825172  0.0240239911  0.00459405454
  63.3534927  0.023093747  0.00455849199
  64.2366028  0.0222011805  0.00452321162
  65.1320343  0.0213631224  0.00448428933
  66.0399323  0.0205427464  0.00440320559
  66.960495  0.0197327491  0.00431014877
  67.8938904  0.0189380553  0.00421905424
  68.8402939  0.0181679465  0.00412988616
  69.7998886  0.0174302161  0.00403630035
  70.7728577  0.0167284422  0.00389889325
  71.7593994  0.0159940161  0.00371463713
  72.7596817  0.0152436486  0.00353699108
  73.7739182  0.0144979069  0.00336783659
  74.8022842  0.0137657057  0.00318411947
  75.844986  0.0130260279  0.00297594839
  76.9022217  0.0122436816  0.00275878352
  77.9741974  0.0114194043  0.00255745766
  79.0611115  0.0105633233  0.00237230281
  80.1631851  0.00969524961  0.00227208086
  81.2806168  0.00885013118  0.00218887208
  82.4136276  0.00801841635  0.00210871105
  83.5624237  0.00717720529  0.00203244807
  84.7272415  0.00631613098  0.00196965248
  85.9082947  0.00545288436  0.00194257183
  87.1058121  0.00459559215  0.00191586674
  88.320015  0.0037132625  0.00188952591
